500, 0.575, 0.552, 0.640, 0.640, 0.000
1000, 0.687, 0.618, 0.677, 0.655, 0.000
1500, 0.648, 0.628, 0.626, 0.647, 0.000
2000, 0.675, 0.633, 0.662, 0.683, 0.000
2500, 0.659, 0.623, 0.648, 0.662, 0.000
3000, 0.735, 0.654, 0.662, 0.670, 0.000
3500, 0.672, 0.608, 0.620, 0.687, 0.000
4000, 0.698, 0.602, 0.678, 0.695, 0.000
4500, 0.629, 0.578, 0.591, 0.607, 0.000
5000, 0.606, 0.547, 0.573, 0.576, 0.000
5500, 0.590, 0.513, 0.614, 0.605, 0.000
6000, 0.722, 0.551, 0.649, 0.666, 0.000
6500, 0.642, 0.615, 0.653, 0.645, 0.000
7000, 0.632, 0.587, 0.600, 0.639, 0.000
7500, 0.617, 0.548, 0.651, 0.641, 0.000
8000, 0.667, 0.570, 0.604, 0.629, 0.000
8500, 0.639, 0.591, 0.663, 0.661, 0.000
9000, 0.677, 0.610, 0.614, 0.636, 0.000
9500, 0.576, 0.571, 0.587, 0.598, 0.000
10000, 0.665, 0.566, 0.601, 0.646, 0.000
10500, 0.609, 0.543, 0.581, 0.606, 0.000
11000, 0.651, 0.553, 0.592, 0.619, 0.000
11500, 0.667, 0.637, 0.621, 0.614, 0.000
12000, 0.679, 0.595, 0.602, 0.654, 0.000
12500, 0.572, 0.533, 0.520, 0.587, 0.000
13000, 0.666, 0.561, 0.601, 0.654, 0.000
13500, 0.593, 0.516, 0.523, 0.629, 0.000
14000, 0.657, 0.529, 0.536, 0.678, 0.000
14500, 0.695, 0.620, 0.561, 0.642, 0.000
15000, 0.663, 0.616, 0.536, 0.625, 0.000
15500, 0.720, 0.667, 0.510, 0.667, 0.000
16000, 0.655, 0.591, 0.518, 0.629, 0.000
16500, 0.647, 0.551, 0.519, 0.651, 0.000
17000, 0.710, 0.596, 0.514, 0.657, 0.000
17500, 0.717, 0.673, 0.528, 0.676, 0.000
18000, 0.779, 0.717, 0.532, 0.726, 0.000
18500, 0.675, 0.601, 0.541, 0.643, 0.000
19000, 0.698, 0.633, 0.525, 0.699, 0.000
19500, 0.695, 0.617, 0.514, 0.679, 0.000
20000, 0.741, 0.652, 0.529, 0.695, 0.000
20500, 0.722, 0.651, 0.484, 0.686, 0.000
21000, 0.627, 0.535, 0.517, 0.667, 0.000
21500, 0.716, 0.617, 0.496, 0.660, 0.000
22000, 0.713, 0.652, 0.515, 0.669, 0.000
22500, 0.675, 0.608, 0.510, 0.627, 0.000
23000, 0.641, 0.570, 0.500, 0.676, 0.000
23500, 0.655, 0.599, 0.514, 0.682, 0.000
24000, 0.590, 0.581, 0.543, 0.608, 0.000
24500, 0.715, 0.588, 0.500, 0.660, 0.000
25000, 0.663, 0.564, 0.548, 0.648, 0.000
25500, 0.705, 0.594, 0.508, 0.659, 0.000
26000, 0.625, 0.558, 0.491, 0.628, 0.000
26500, 0.568, 0.537, 0.461, 0.554, 0.000
27000, 0.557, 0.538, 0.475, 0.660, 0.000
27500, 0.600, 0.500, 0.523, 0.631, 0.000
28000, 0.616, 0.575, 0.529, 0.641, 0.000
28500, 0.541, 0.514, 0.525, 0.558, 0.000
29000, 0.507, 0.500, 0.517, 0.573, 0.000
29500, 0.558, 0.500, 0.472, 0.570, 0.000
30000, 0.582, 0.500, 0.510, 0.591, 0.000
30500, 0.640, 0.500, 0.477, 0.613, 0.000
31000, 0.610, 0.548, 0.545, 0.628, 0.000
31500, 0.682, 0.559, 0.473, 0.587, 0.000
32000, 0.591, 0.521, 0.488, 0.610, 0.000
32500, 0.642, 0.507, 0.432, 0.627, 0.000
33000, 0.624, 0.552, 0.489, 0.613, 0.000
33500, 0.758, 0.572, 0.481, 0.644, 0.000
34000, 0.631, 0.577, 0.479, 0.613, 0.000
34500, 0.693, 0.527, 0.528, 0.622, 0.000
35000, 0.679, 0.582, 0.485, 0.692, 0.000
35500, 0.650, 0.607, 0.442, 0.667, 0.000
36000, 0.614, 0.553, 0.430, 0.617, 0.000
36500, 0.679, 0.597, 0.475, 0.651, 0.000
37000, 0.569, 0.563, 0.452, 0.638, 0.000
37500, 0.576, 0.542, 0.484, 0.590, 0.000
38000, 0.530, 0.500, 0.440, 0.596, 0.000
38500, 0.628, 0.524, 0.460, 0.652, 0.000
39000, 0.640, 0.619, 0.532, 0.624, 0.000
39500, 0.687, 0.532, 0.477, 0.635, 0.000
40000, 0.601, 0.559, 0.463, 0.599, 0.000
40500, 0.606, 0.541, 0.490, 0.612, 0.000
41000, 0.622, 0.513, 0.527, 0.627, 0.000
41500, 0.671, 0.514, 0.429, 0.602, 0.000
42000, 0.603, 0.532, 0.443, 0.609, 0.000
42500, 0.583, 0.508, 0.440, 0.562, 0.000
43000, 0.552, 0.507, 0.459, 0.592, 0.000
43500, 0.522, 0.500, 0.449, 0.568, 0.000
44000, 0.562, 0.500, 0.502, 0.593, 0.000
44500, 0.632, 0.514, 0.546, 0.596, 0.000
45000, 0.551, 0.506, 0.468, 0.571, 0.000
