500, 0.746, 0.717, 0.731, 0.731, 0.000
1000, 0.748, 0.728, 0.735, 0.758, 0.000
1500, 0.732, 0.731, 0.717, 0.728, 0.000
2000, 0.733, 0.756, 0.748, 0.771, 0.000
2500, 0.748, 0.756, 0.757, 0.766, 0.000
3000, 0.733, 0.722, 0.722, 0.756, 0.000
3500, 0.767, 0.778, 0.772, 0.815, 0.000
4000, 0.726, 0.726, 0.701, 0.746, 0.000
4500, 0.717, 0.742, 0.716, 0.749, 0.000
5000, 0.771, 0.759, 0.780, 0.784, 0.000
5500, 0.704, 0.711, 0.700, 0.728, 0.000
6000, 0.770, 0.763, 0.752, 0.773, 0.000
6500, 0.726, 0.715, 0.703, 0.744, 0.000
7000, 0.744, 0.729, 0.722, 0.750, 0.000
7500, 0.739, 0.776, 0.762, 0.779, 0.000
8000, 0.773, 0.789, 0.759, 0.786, 0.000
8500, 0.771, 0.751, 0.737, 0.765, 0.000
9000, 0.728, 0.751, 0.735, 0.761, 0.000
9500, 0.736, 0.763, 0.774, 0.768, 0.000
10000, 0.740, 0.768, 0.744, 0.765, 0.000
10500, 0.756, 0.766, 0.756, 0.788, 0.000
11000, 0.730, 0.748, 0.715, 0.745, 0.000
11500, 0.745, 0.784, 0.764, 0.793, 0.000
12000, 0.708, 0.742, 0.711, 0.746, 0.000
12500, 0.695, 0.755, 0.755, 0.776, 0.000
13000, 0.712, 0.738, 0.739, 0.758, 0.000
13500, 0.740, 0.776, 0.750, 0.787, 0.000
14000, 0.734, 0.747, 0.721, 0.754, 0.000
14500, 0.698, 0.748, 0.713, 0.764, 0.000
15000, 0.759, 0.777, 0.752, 0.783, 0.000
15500, 0.727, 0.754, 0.758, 0.768, 0.000
16000, 0.735, 0.751, 0.744, 0.757, 0.000
16500, 0.697, 0.714, 0.692, 0.718, 0.000
17000, 0.600, 0.576, 0.562, 0.564, 0.000
17500, 0.777, 0.719, 0.626, 0.621, 0.000
18000, 0.702, 0.706, 0.597, 0.660, 0.000
18500, 0.761, 0.749, 0.562, 0.752, 0.000
19000, 0.771, 0.753, 0.559, 0.758, 0.000
19500, 0.743, 0.767, 0.601, 0.782, 0.000
20000, 0.755, 0.736, 0.616, 0.761, 0.000
20500, 0.703, 0.721, 0.602, 0.738, 0.000
21000, 0.746, 0.796, 0.611, 0.806, 0.000
21500, 0.713, 0.761, 0.589, 0.780, 0.000
22000, 0.661, 0.715, 0.586, 0.735, 0.000
22500, 0.667, 0.711, 0.576, 0.751, 0.000
23000, 0.744, 0.734, 0.606, 0.776, 0.000
23500, 0.709, 0.758, 0.544, 0.752, 0.000
24000, 0.739, 0.763, 0.584, 0.770, 0.000
24500, 0.737, 0.767, 0.612, 0.783, 0.000
25000, 0.693, 0.737, 0.530, 0.732, 0.000
25500, 0.688, 0.740, 0.605, 0.750, 0.000
