500, 0.586, 0.548, 0.612, 0.612, 0.000
1000, 0.664, 0.555, 0.607, 0.644, 0.000
1500, 0.688, 0.586, 0.654, 0.651, 0.000
2000, 0.681, 0.579, 0.680, 0.688, 0.000
2500, 0.641, 0.581, 0.641, 0.628, 0.000
3000, 0.691, 0.597, 0.639, 0.673, 0.000
3500, 0.674, 0.559, 0.653, 0.651, 0.000
4000, 0.714, 0.573, 0.650, 0.688, 0.000
4500, 0.693, 0.595, 0.695, 0.670, 0.000
5000, 0.710, 0.625, 0.635, 0.657, 0.000
5500, 0.714, 0.628, 0.686, 0.682, 0.000
6000, 0.754, 0.634, 0.641, 0.702, 0.000
6500, 0.630, 0.592, 0.647, 0.660, 0.000
7000, 0.702, 0.621, 0.668, 0.676, 0.000
7500, 0.620, 0.549, 0.663, 0.667, 0.000
8000, 0.719, 0.581, 0.683, 0.714, 0.000
8500, 0.701, 0.634, 0.667, 0.669, 0.000
9000, 0.721, 0.646, 0.695, 0.698, 0.000
9500, 0.645, 0.609, 0.665, 0.681, 0.000
10000, 0.727, 0.600, 0.670, 0.684, 0.000
10500, 0.687, 0.541, 0.679, 0.710, 0.000
11000, 0.689, 0.582, 0.636, 0.668, 0.000
11500, 0.643, 0.557, 0.678, 0.665, 0.000
12000, 0.689, 0.641, 0.647, 0.652, 0.000
12500, 0.646, 0.567, 0.625, 0.659, 0.000
13000, 0.637, 0.561, 0.612, 0.635, 0.000
13500, 0.655, 0.542, 0.652, 0.669, 0.000
14000, 0.671, 0.552, 0.632, 0.671, 0.000
14500, 0.632, 0.547, 0.631, 0.654, 0.000
15000, 0.710, 0.587, 0.689, 0.676, 0.000
15500, 0.652, 0.583, 0.706, 0.676, 0.000
16000, 0.647, 0.559, 0.672, 0.642, 0.000
16500, 0.632, 0.541, 0.716, 0.702, 0.000
17000, 0.462, 0.497, 0.505, 0.501, 0.000
17500, 0.768, 0.731, 0.497, 0.544, 0.000
18000, 0.766, 0.739, 0.506, 0.582, 0.000
18500, 0.759, 0.725, 0.529, 0.686, 0.000
19000, 0.763, 0.735, 0.513, 0.743, 0.000
19500, 0.761, 0.724, 0.502, 0.752, 0.000
20000, 0.749, 0.727, 0.520, 0.750, 0.000
20500, 0.762, 0.718, 0.531, 0.732, 0.000
21000, 0.754, 0.729, 0.534, 0.756, 0.000
21500, 0.778, 0.727, 0.509, 0.754, 0.000
22000, 0.767, 0.735, 0.491, 0.752, 0.000
22500, 0.755, 0.732, 0.511, 0.775, 0.000
23000, 0.786, 0.765, 0.501, 0.781, 0.000
23500, 0.751, 0.750, 0.524, 0.766, 0.000
24000, 0.796, 0.755, 0.510, 0.773, 0.000
24500, 0.768, 0.785, 0.477, 0.796, 0.000
25000, 0.708, 0.720, 0.529, 0.730, 0.000
25500, 0.767, 0.750, 0.512, 0.762, 0.000
26000, 0.760, 0.750, 0.526, 0.770, 0.000
26500, 0.739, 0.730, 0.487, 0.748, 0.000
27000, 0.779, 0.769, 0.553, 0.778, 0.000
27500, 0.788, 0.761, 0.513, 0.769, 0.000
28000, 0.757, 0.751, 0.524, 0.747, 0.000
28500, 0.761, 0.737, 0.513, 0.757, 0.000
29000, 0.774, 0.761, 0.534, 0.760, 0.000
29500, 0.761, 0.758, 0.527, 0.765, 0.000
30000, 0.780, 0.775, 0.513, 0.757, 0.000
30500, 0.761, 0.765, 0.493, 0.796, 0.000
31000, 0.775, 0.770, 0.523, 0.763, 0.000
31500, 0.758, 0.751, 0.496, 0.771, 0.000
32000, 0.794, 0.800, 0.524, 0.806, 0.000
32500, 0.778, 0.767, 0.492, 0.781, 0.000
33000, 0.733, 0.764, 0.492, 0.775, 0.000
33500, 0.465, 0.432, 0.449, 0.470, 0.000
34000, 0.630, 0.602, 0.466, 0.491, 0.000
34500, 0.685, 0.584, 0.484, 0.527, 0.000
35000, 0.695, 0.671, 0.466, 0.658, 0.000
35500, 0.708, 0.646, 0.431, 0.689, 0.000
36000, 0.724, 0.647, 0.448, 0.722, 0.000
36500, 0.691, 0.637, 0.443, 0.671, 0.000
37000, 0.760, 0.656, 0.472, 0.762, 0.000
37500, 0.667, 0.662, 0.492, 0.694, 0.000
38000, 0.661, 0.613, 0.480, 0.638, 0.000
38500, 0.705, 0.599, 0.462, 0.698, 0.000
39000, 0.642, 0.644, 0.454, 0.666, 0.000
39500, 0.720, 0.640, 0.471, 0.705, 0.000
40000, 0.656, 0.570, 0.469, 0.667, 0.000
40500, 0.692, 0.599, 0.455, 0.686, 0.000
41000, 0.632, 0.608, 0.462, 0.659, 0.000
41500, 0.663, 0.597, 0.492, 0.646, 0.000
42000, 0.676, 0.620, 0.439, 0.686, 0.000
42500, 0.696, 0.630, 0.474, 0.660, 0.000
43000, 0.704, 0.570, 0.440, 0.701, 0.000
43500, 0.685, 0.641, 0.477, 0.673, 0.000
44000, 0.685, 0.621, 0.463, 0.682, 0.000
44500, 0.676, 0.634, 0.477, 0.659, 0.000
45000, 0.608, 0.544, 0.450, 0.647, 0.000
45500, 0.695, 0.553, 0.444, 0.680, 0.000
46000, 0.689, 0.560, 0.461, 0.654, 0.000
46500, 0.703, 0.603, 0.467, 0.682, 0.000
47000, 0.665, 0.598, 0.475, 0.673, 0.000
47500, 0.731, 0.655, 0.464, 0.715, 0.000
48000, 0.667, 0.600, 0.453, 0.675, 0.000
48500, 0.704, 0.657, 0.464, 0.694, 0.000
49000, 0.675, 0.602, 0.470, 0.665, 0.000
49500, 0.721, 0.657, 0.462, 0.691, 0.000
50000, 0.441, 0.482, 0.530, 0.493, 0.000
50500, 0.676, 0.641, 0.520, 0.500, 0.000
51000, 0.685, 0.665, 0.521, 0.532, 0.000
51500, 0.771, 0.716, 0.480, 0.725, 0.000
52000, 0.762, 0.708, 0.520, 0.737, 0.000
52500, 0.788, 0.723, 0.483, 0.775, 0.000
53000, 0.784, 0.682, 0.477, 0.728, 0.000
53500, 0.756, 0.707, 0.463, 0.737, 0.000
54000, 0.794, 0.761, 0.526, 0.791, 0.000
54500, 0.750, 0.690, 0.499, 0.728, 0.000
55000, 0.751, 0.721, 0.505, 0.753, 0.000
55500, 0.758, 0.706, 0.486, 0.732, 0.000
56000, 0.749, 0.743, 0.511, 0.755, 0.000
56500, 0.757, 0.717, 0.495, 0.732, 0.000
57000, 0.786, 0.755, 0.513, 0.767, 0.000
57500, 0.743, 0.704, 0.487, 0.719, 0.000
58000, 0.761, 0.723, 0.490, 0.737, 0.000
58500, 0.747, 0.708, 0.515, 0.720, 0.000
59000, 0.753, 0.689, 0.504, 0.715, 0.000
